UserName,Hashtag,Tweet
@monicaBeg,"#JulyRevolutionGirls,","Bold hearts, fearless minds - meet the July Revolution Girls! From the streets of Bangladesh, they’re breaking barriers, rewriting history, and inspiring a new era of unstoppable change"
@monicaBeg,#BangladeshRise,"Bold hearts, fearless minds - meet the July Revolution Girls! From the streets of Bangladesh, they’re breaking barriers, rewriting history, and inspiring a new era of unstoppable change"
@dailystarnews,#JulyMassacre,"Rickshaw that carried revolution martyr finds place in museum
"
@Zakzakxak,#ButcherOfBangladesh,"Butcher of Bangladesh, Hasina, deployed UN vehicles to attack demonstrators in Dhaka. That's how crazy she went to save her position. And #ButcherOfGujrat is sheltering this woman."
@Zakzakxak,#BanAwamiLeague,"Frustrated BAL goon showing police how to shoot to kill. The goon is literally shouting at the police! This is how #ButcherOfBangladesh ran the country for 15 years.
"
@ZahidSheikh13,#Hasinopath,"If you know you know! Unpublished images from July 25!! We had amber hard (fraud/corrupt) as a ruler, the only difference is that #FasictHasina is a killer of thousand innocent students."
@dailystarnews,#JulyAugustUprising,"Eight individuals, including former IGP and former DG (NTMC), were produced before the International Crimes Tribunal (ICT) today in a case filed over crimes against humanity and genocide during the July-August mass uprising."
@ZahidSheikh13,#HuntDownHasina,"Shabuddin Chuppu Must Resign. 

He must leave. He is also a  Fascist Enabler. 
"
@centristnattv,#julyuprising,July Uprising: US Recognises The Brave woman 
@AbdullahAl8749,#stepdownyounus,"Reflecting on the July movement: This is how Jamaat-NCP murdered 3,000 #police officers and left their bodies hanging across the streets of Dhaka. They set fire to 400 #police stations and looted all the weapons inside. Meanwhile, USAID and various human rights organizations backed their every move. The United Nations issued a report about these events, but it conveniently left out any mention of their names—so can you really trust that report’s credibility?"
@ChiefAdviserGoB,#JulyRevolution ,Chief Adviser Professor Muhammad Yunus visited the Dhaka University area to see the graffiti drawn by young revolutionaries during the student-led mass uprising in July and August. Photos: CA Press Wing
@basherkella,#StopIndianHegemony,"Here is the main gate of #BUET, the most prestigious educational institution in #Bangladesh. Since the #JulyRevolution, students have been voicing unique protests against unwanted intervention by #India on various internal matters of Bangladesh"
@RTD_BD,#StudentsMovement ,"July massacre 2024: We will never forget!

Video 36: Our second independence was made possible by the sacrifices and sufferings of thousands of people like this injured brother."
@RifatAlam007,#QuotaMovement,"#Dhaka University bloodied as Chhatra League thugs attack quota reform protesters, allegedly supported by PM #Hasina and backed by @bd_police. The injured count is uncertain, with reports of female students being targeted by ruling @albd1971 members. "
@RifatAlam007,#PrayForStudents,Tragic news from #Dhaka University: Over 100 students were injured in a brutal attack by Chhatra League members in front of the VC's building. Reports indicate several female students were also harassed by ruling @albd1971's student wings. 
@ArshiMinhajul,#QuotaReformMovement,"1 month ago today‼️I still remember the fear I had in me when I saw the facebook post.We really lived through a movie and fortunately, this time we had a good ending.....
"
@park07k,#StudentsUnderAttackInBangladesh,"Please speak about Bangladesh, use your platforms to spread awareness about the ongoing situation ‼️ 🇧🇩

ALL EYES ON BANGLADESH
SAVE BANGLADESHI STUDENT"
@rumankn,#LongMarchtoDhaka,"Make a bamboo stick
Make Bangladesh free
Asif Mahmud
Student leader on March to Dhaka Tomorrow
STEP DOWN FASCIST HASINA"
@buetian62,#BangladeshBleeding,"Coordinator Nahid's directive: ""The student community will not accept martial law."" "
@ERSaif14,#StepDownDictatorHasina,"On August 4, 2024, on the first day of the mass movement, around 30 people were killed across the country in attacks by the Awami League, Chhatra League, Jubo League, and police."
@buetian62,#BanBSL,"BSL goons attacked unarmed protesters visciously throughout the whole day. This video shows a proof of their act in Sylhet. 
"
@DhakaTribune,#JulyMartyrs," I'njured individuals will receive training and job priority, while the final m'artyr list is gazetted and i'njury lists are pending"
@DhakaTribune,#julywarriors,"If a decision to ban the party is not made within this timeframe, the July warriors have announced plans to block Dhaka city"
@fidi_fidel,#BangladeshCrisis,"We did not commit any crimes. Is it our crime to ask for an independent police commission?"" said Soaibur Rahman during a remand hearing in a case filed under the Cyber Security Act."
@RifatAlam007,#StudentProtest,"Students across #Bangladesh took to the streets late at night after protests erupted at #Dhaka University. In response to PM Sheikh #Hasina's comments against the #QuotaReform movement, university students nationwide held processions on their campuses."
@los7blancos,#AllEyesOnDhakaUniversity,"SHOTS ARE BEING FIRED AT JU AND Du

PlEASE HELP THEM OR SPREAD THE WORD 
"
@jeonsci,#QuotaReformProtest,"how can you turn a non-violent protest into this?? It's been DAYS of attacks 

WE STAND WITH BANGLADESHISTUDENTS
ALL EYES ON DHAKA UNIVERSITY"
@_spicygirl_,#RedForJustice,"Never been this proud of my teachers!

**Teachers of Jahangirnagar University held a demonstration with red clothes tied over their mouths."
@beingargentin,#HasinaWorseThanHitler,"Resistance is the existence!  So keep fighting online, offline, in Bangladesh and abroad. Fight everywhere. The new sun will rise"
@ThePerilousGirl,#BangladeshBleeding #Bangladesh,"According to sources, Bangladesh Army asks PM #SheikhHasina to resign within 45 minutes. She left Dhaka for a safer place highly possible that she flown to India in Military helicopter."
@rumankn,#StepDownDictatorHasina #StepDownHasina #SaveBangladeshiStudents #SaveBangladesh #BangladeshBleeding #LongMarchtoDhaka,Make a bamboo stick Make Bangladesh free Asif Mahmud Student leader on March to Dhaka Tomorrow STEP DOWN FASCIST HASINA
@Kyoni_Erisso,#Victory #Freedom #LongMarchtoDhaka,"In #Bangladesh, Gen Z is making history! For democracy, for freedom #GenZrevolution We made another history to remember. 5th August, 2024 (36th July). New Independence Day in BANGLADESH"
@asterious_11,#LongMarchtoDhaka,Sheik Hasina & Rehana left the country. People are entering the Ganabhaban (prime minister’s office)
@palkisu,,"Bangladesh is on the boil. The anti-quota stir has intesified. 32 people have died. Protesters have called for a nationwide shutdown, rejecting PM Sheikh Hasina's offer of talks. To all those of you who've written to us from Bangladesh, we're covering the story. Stay safe."
@steve_hanke,,BREAKING: Bangladesh has imposed a CURFEW and has deployed the ARMY to control ongoing protests against PM Hasina's authoritarian rule. The death toll since Monday has climbed to at least 105. Stay tuned.
,,
@MidoriyaMafi,#36July,"6 months ago, Bangladesh got rid of the fascist government. This wall art was made on this occasion. Maybe it's my first and last wall art. Thanks to the principal of our college, our economics teacher, and our juniors for the help. It was really a wonderful day💚"
@aam_mahdi,#36July,আহা! কতো প্রাণের বিনিময়ে নতুন বাংলাদেশ পেয়েছি।
@aam_mahdi,#July,আহা! কতো প্রাণের বিনিময়ে নতুন বাংলাদেশ পেয়েছি।
@TMottalib,#36July,পুলিশ কখনই আমাদের বন্ধু ছিল না
@TMottalib,#কোটা_আন্দোলন_২০২৪,পুলিশ কখনই আমাদের বন্ধু ছিল না
@EUinBangladesh,#StandUp4HumanRights,"today launched the book 'Bangladesh, 36 July 2024' to mark #HumanRightsDay, in the presence of two of the young artists. The book launch was accompanied by a photo exhibition featuring powerful street art inspired by the protests of 2024 on the theme of fundamental rights. Thank you, Office of the Chief Adviser, for supporting this initiative."
@SadiAfrin0509,#36July ,BBC exposed the fabricated proganda spreading by Indian people. May you get well soon and stop spreading propaganda about our country. 
@ashrafulAmaruf, #36July,"""As-Sunnah Foundation"" provided support to 109 orphans and 2 Hindu families with 3 crore (BDT) Taka for the families of 300 #Martyrs who lost their lives in the #JulyMassUprising of the ""Anti-Discrimination Student Movement"" in #Bangladesh "
@ashrafulAmaruf,#BloodyJuly,"""As-Sunnah Foundation"" provided support to 109 orphans and 2 Hindu families with 3 crore (BDT) Taka for the families of 300 #Martyrs who lost their lives in the #JulyMassUprising of the ""Anti-Discrimination Student Movement"" in #Bangladesh "
@IsWanderlust,#36July,Lots of murals around the city celebrating the change of regime a few months ago. 36th July is reference to the day Hasina fled (Aug 5th). The protesters said they would keep counting the days in July until their demands were met.🇧🇩
@sallauddinkader,#no_more_quotha,"Water water water....😪😪😪
#mirmugdho Called the students for water. But suddenly a bullet hit upon his head. he was dead at the spot.. we will miss our heroes."
@AbdusSa73414699,#DhakaUniversityUnderAttack,4 people including co-coordinator Musaddiq were detained from the movement in Paltan.
@AbdusSa73414699,#DUUnderAttack,4 people including co-coordinator Musaddiq were detained from the movement in Paltan.
@m_far_vir_rahat,#ReleaseTheStudents,All this students have been arrested during peaceful protest. 
soroni69272,#JulyGenocide,"HASINA 15 YEARS OF FASCISM
""UN recommends Bangladesh to take the July 2024 genocide case to the ICC! Justice must prevail—no more impunity for mass murderers. The world is watching."
@farhan_imtahan,#Hasina15YearsOfFascism,"JUSTICE FOR SHAPLA NOW.They’ve tried repeatedly to erase us from history, but they couldn’t—and never will, Insha-Allah!  The pain of 2013 lingers—our martyred brothers’ blood fuels our fight for justice."
@ur_calmland,#NewBangladesh,"The month of July and the first five days of August consisted of a student movement in Bangladesh. From the quota movement to the total non-cooperation movement with a one-point demand, the country regained freedom and independence.
"
@MdTarekRah85543,#Quotamovement2024,Look how the police are firing on ordinary students amid the quota movement at Dhaka University. Save us. Save Bangladesh from this dictatorial government. 
@OfficialBTSBD,#NoQouta,"6 deaths, 400+ injured. Yet we won't stop protesting. We won't stop speaking about #QuothaMovement. It's a basic right. Govt Has to give it to us. As simple as that

WE ARE BULLETPROOF. ARE YOU?"
@Mahmudul101,#DictatorHasina,ICT Investigation Finds 'Irrefutable Evidence' Against Sheikh Hasina in Genocide and Crimes Against Humanity Case.
@SakibAntor,#HangTheFacistMurdereHasina,"Hasina is the muderer of thousands. She should face the consequences of her wrongdoings and killing through the ICC. 
India shouldn't act like a foe by facilitating this dictator. India's land shouldn’t be used as a platform Against BD!"
@akter_anifa_kim,#shameonHasina,"One point, one demand. 
STEP DOWN FASCIST HASINA. "
@faw161161,#saveBagnladesfromawamiterrorist,Dictator Hasina's police attacking even our University   teachers 
@hafizBu8,#36july,"We chose Motherland, Freedom and VictoryInqilab Zindabad-Long Live The Revolution"
@khsaiful67,#36july,Bangladesh is FREE from the long dictatorship of Tyrant and murderer Sheikh Hasina! Gratitude to the Quota reform movement students and the people of my country for making this possible! This is just the beginning. We will reform our motherland! ✊✊
@centerforaid,#36july,"🖌️ We've done seven powerful paintings, each capturing the essence of the 2024 student movement—sacrifice, unity, and the relentless fight for justice."
@yournam7049246,#36july,Happy Victory day Guys
@ab_siddiqur13,#36july,"Today is the day of independence. The day of victory. The day of martyrs. A new era has started with new spring.. Birds are singing, fresh smell are spreading.."
@x_Hasin,#36july,This is us. This is our new loving Bangladesh.
@MithuHassan321,#StudentMovement,A month of celebration of the victory of Bangladesh's anti-discrimination student movement. Honoring the courage and unity that brought change.
@ilukmantalukder,#StudentsMovement,Salute to all the martyrs who lost their lives fighting against the fascist Awami misrule. 🇧🇩❤️
@Maruf_Al_Yeamin,#StudentsMovement,Internet connection in Dhaka University and surrounding area has been stopped and 4G connection is not available completely.
@MuslimIbnaRabi,#StudentsMovement,"To see the power of truth, look to Bangladesh today and keep looking. It is a historic day for the Bangladeshi people and the nation worldwide"
@zubair_rahman_a,#StudentsMovement,Mirpur is in crisis! Save us! SAVE US!
@mashrurmobin,#freedom,Massive congratulations to my fellow countrymen while we remembers the ones who we lost during this fight for freedom. While the tyrant has left urging all residents to keep up the vigilance and celebrate victory in civilized manner
@mashrurmobin,#StudentsMovement,Massive congratulations to my fellow countrymen while we remembers the ones who we lost during this fight for freedom. While the tyrant has left urging all residents to keep up the vigilance and celebrate victory in civilized manner
@TOPXNews,#StudentsMovement,"🎉 No surprise here! The recent triumph of Bangladesh's student movement was 15 years in the making. Their perseverance has paid off, proving the power of youth in shaping a nation's destiny"
@khsaiful67,#freedom,Bangladesh is FREE from the long dictatorship of Tyrant and murderer Sheikh Hasina! Gratitude to the Quota reform movement students and the people of my country for making this possible! This is just the beginning. We will reform our motherland! ✊✊
@KnmNahian,#BloodyJuly,A thread on the Heroic efforts of Private University students and the brutality of Bangladesh Police on 18th July.
@kimtbsm,#BloodyJuly,This painting is “Tribute to all the Martyrs of July Revolution “ 🇧🇩
@john_hq3,#BloodyJuly,“We want answers for every bullet ridden body. We will leave the streets only after justice is served.”
@inun_ripa,#JulyMassacre,#FacistHasina declared mourning day after ordering to kill 300 students! But people are rejecting this mockery by changing their social id DPs into red.
@mahimachy13,#Bloodyjuly,The Police of fascist #SheikhHasina attacked the people without any reason.
@aamanullah,#Bloodyjuly,this July is not for sky viewers...
@Srabon477,#Bloodyjuly,This RED resembles the BLOOD of our innocent  brothers!
@AbdullahAb49807,#JulyGenocide,"After the fall of the secular chetonabadi terrorist dictator Hasina, the people's victory was celebrated by taking over the National Parliament."
@Rezaderma,#JulyGenocide,Rows of anonymous grave of protesters at Rayerbazar cemetery !
@Rezaderma,#JulyGenocide,Even minor meritorious boy is in police remand for protesting against autocratic government!
@KhanYusuf98,#JulyGenocide,Bangladesh Rapid Action Battalion (RAB) forces were captured dropping grenades from helicopters at student protestors.
@KaziHafizH,#JulyGenocide,"They are Generation Z,  Invincible & Brave. After brutal killing & torture of their comrades they are still on the street. In front of a police, he is writing on the wall “Drama in daylight, Arrest at night”"
@warnotification,#JulyGenocide,"Bangladeshi Students Vs Bangladesh Army. 
Unarmed vs Armed.
Shame on you Bangladesh. 🇧🇩"
@PrinceShihab92,#JulyGenocide,"Point one, demand one
Resignation of murderer Hasina.
"
@AbdullahAb49807,#JulyGenocide,Spider-Man spotted in Dhaka.
@AziiimChowdhury,#JulyGenocide,"Today at Mirpur 10

LOUD AND CLEAR STEP DOWN FASCIST HASINA"
@AbdullahAb49807,#JulyGenocide,"Solidarity with BD students.

35 July (4rth August 2024) 
📍Malaysia"
@IshatFarhan,#JulyGenocide,"The dictatorial Hasina government will not prosecute the murders, because they themselves are the killers 👇

 16-year-old student in prison in the case of the murder of Abu Saeed, who was shot by the police!"
@KhanYusuf98,#JulyGenocide,"This generation will never forget and forgive Awami League and Sheikh Hasina.

Thousands of students were killed and in the middle of night raiding the house. We just forget to sleep peacefully.

Meanwhile, Hasina shows crocodile tears to the metro!"
@KaziHafizH,#JulyGenocide,Not sure how long she can stay in power. Today thousands of people came out to the streets again. They have grievances for the loss of hundreds innocent lives in Bangladesh. It will be in 3 & 4 folds in coming days.
@IshatFarhan,#JulyGenocide,"Save Bangladesh student. 

All of you will pray for the students of Bangladesh. Government and police, army, BGB are killing ordinary students in Bangladesh.
"
@ZihadSheikh13,#JulyGenocide,"Curious about the Meeting of the Army Chief! 

Will they take the side of a #Fascist and help to kill more students?

Or will they convince #FascistHasina to step down? 
"
@KaziHafizH,#JulyGenocide,It is not working this time. Students blood 🩸 on your and Hasina’s hands.
@azobair,#JulyGenocide,
@ZihadSheikh13,#JulyGenocide,"Bro, Just Think of yourself. In Jail, there may not be a Commode. What will happen then with your big size Ass?"
@SaifAhmed144184,#Julymasacare,Look how police openly firing on students in Bangladesh 😡 Dhaka 02/08/2024
@shouro04,#Julymasacare,"How blatantly a Prime Minister's ""son"" can share lies in front of public. Absolute disgrace, no wonder mother (dictator Hasina) and son (Sajeeb Wazed) together destroying our country."
@realsumonislam,#QuotaReformProtest,"A new dawn, a new country. You will be remembered."
@RiyelRomel,#QuotaReformProtest,Wonderful Work Very inspiring for the Students.👏✊🇧🇩
@Hamid_Hossen,#QuotaReformProtest,Glimpses of the #Inqilab movement taking over Cox's Bazar streets. 100 of ordinary citizens joined students in a powerful display of dissent. The city reverberated with chants demanding the resignation of the Prime Minister and her parliament members.
@Shantonuroyit,#QuotaReformProtest,If the graffiti on the walls turns into maps in moments of stillness.
@amina_meheli,#QuotaReformProtest,"Dear Abrar Fahad bhai, only if you could see them now, you'd be so proud"
"@park07k",#QuotaReformProtest,"Please speak about Bangladesh, use your platforms to spread awareness about the ongoing situation ‼️ 🇧🇩"
@dailystarnews,#QuotaReformProtest,"Bangladesh's largest English Daily. The latest & breaking news, features, analysis and more from 
@dailystarnews
."
@codermahdy,#QuotaReformProtest,Some students were hurt by the police attack on July 18 while others rested on recovering their strength.
@alam_basharul,#QuotaReformProtest,"July 2024, just another month? Maybe not. It was very terrible, with nights intensifying the agony. A tired mind battles, tears flowing intensely. May such a moment never come to Earth, not even for a Planck second."
@_aoi_75_,#julymassacre,"Allright everyone , it’s time to untie those chains .
Raise your voice together 
Tigers Assemble!!"
@souravhome291,#SaveBangaldeshiStudents,"10th Grade shot dead in Uttara when she was on her balcony! 

Date: 19 July 

Naima, Class 10,  Age 16.
Sector 9 behind uttara adhunik medical.
"
@Mahmudul101,#QuotaReformProtest,People with physical disabilities are also participating in this protest. It is now unstoppable.
@Hamid_Hossen,#QuotaReformProtest,Glimpses of the #Inqilab movement taking over Cox's Bazar streets. 100 of ordinary citizens joined students in a powerful display of dissent. The city reverberated with chants demanding the resignation of the Prime Minister and her parliament members.
@tbsnewsbd,#QuotaReformProtest,"A fire was set to a showroom of the well-known clothing brand Yellow on Road no-2 in Dhanmondi, Dhaka."
@hoeforminimoni,#QuotaReformProtest,"ALL EYES ON BANGLADESH
SAVE BANGLADESHI STUDENT
STEP DOWN FASCIST HASINA"
@tbsnewsbd,#QuotaReformProtest,"The PM said this while addressing the nation on the ongoing violent situation centring on the non-cooperation movement called upon by the protesters today (4 August)
"
@Raju_59,#QuotaReformProtest,Justice must be served for these murders.
@tbsnewsbd,#QuotaReformProtest,"The Anti-discrimination Student Movement announced a ""Long March to Dhaka"" programme tomorrow (5 August) to press home for their one-point demand of resignation of the current government.
"
@auraiyaaysha,#QuotaReformProtest,We want justice.
@Asiful_Rahman1,#QuotaReformProtest,We witnessed a new dawn in Bangladesh as it gained independence.
@Raju_59,#QuotaReformProtest,Mass protests countrywide against the murderer #SheikhHasina. Hasina must go.
@wpfsornab,#QuotaReformProtest,Who is this guy? Shooting against unarmed Student Protesters?
@Sk_JA_7,#QuotaReformProtest,"Update: 159 lives it can be more

ALL EYES ON BANGLADESH
SAVE BANGLADESHI STUDENTS
STEP DOWN FASCIST HASINA"
@jinnjinnjjiniya,#no_more_quotha ,"18JULY, at BRAC UNIVERSITY!!
POLICE ARE ATTACKING STUDENTS!!"
@prity_sharin,#no_more_quotha ,"It's not a zombie movie scene, it's our Bangladesh! 😥"
@ShakibShahedul,#no_more_quotha ,"Students in Bangladesh are on the streets with their one point demand,"
@Palestine_won,#no_more_quotha ,Bangladeshi Muslims are protecting temples from attack
@d48479171,#no_more_quotha ,Help Bangladeshi Student. They are killed by police and the ruling party.
@mdmasumice,#no_more_quotha ,Cold-headed terrorist police brutally shoot an innocent student. Where is the end? Will there be any judgment on this plea?
@WrittenByVantae,#no_more_quotha ,They kîlled 2 more students ‼️
@AliRplsc,#JulyRevolution ,"My last tribute to the July Revolution..
Victory to Youth and Bangladeshi people.. Victory to whole 🇧🇩 "
@RTD_BD,#JulyRevolution ,"July massacre 2024: We will never forget!

Video 36: Our second independence was made possible by the sacrifices and sufferings of thousands of people like this injured brother."
@bd_thinker,#JulyRevolution ,"Moved to tears, #DhakaUniversity Shibir President Abu Sadiq Mohammad Kaiyum pays heartfelt tribute to the martyrs of a new Bangladesh. 🇧🇩"
@golamnur5,#JulyRevolution ,"Shahidi March, 5 September 2024. 
We have to protect this freedom at all cost. "
@TamimSpeaking,#JulyRevolution ,"July massacre 2024: We will never forget!

Our second independence was made possible by the sacrifices and sufferings of thousands of people like this injured brother."
@communistsus,#QuotaMovement,Victory to the students of Bangladesh! Down with Hasina’s system! No trust in the army! No trust in the ruling class’ parties! All power to workers’ and students’ committees! Workers of the world unite!
@albd1971,#QuotaMovement,"Alarming if you look at the current composition of #QuotaMovement in #Bangladesh: Other than banned #Jamaat #Shibir and violent #BNP, there is also the #IslamicMovement. Listen to the Chief Chormonai Pir proudly admitting how his org has been with the ""protesters"" from outset."
@k_shayera,#QuotaMovement,"Why are the so-called leaders of the #QuotaMovement carrying and promoting the black #ISIS flag? What are they really trying to achieve here? Why are they endorsing mob justice and spreading #IslamicExtremism under the guise of student activism? Bangladesh’s future lies in unity and peace, not in extremist ideologies."
@MirrorNow,#QuotaMovement,Case filed against ousted #Bangladesh PM #SheikhHasina and 147 others over death of a protestor during
@Talhaofficial01,#QuotaMovement,"At least 100 people have been killed today, including 14 policemen in Bangladesh. Bangladeshi army seems to be refusing to use live ammunition against protesters. Hasina regime facing a serious threat to its survival!"
@KhanYusuf98,#QuotaMovement,"🚨London, England

Londoners are protesting against dictator Sheikh Hasina for mass killings of students."
@RifatAlam007,#QuotaMovement,"The anti-discrimination student movement at #Dhaka University organized a peaceful protest today, calling for the prosecution of fascist #Hasina for #JulyMassacre and crimes against humanity, while also shedding light on the @albd1971's conspiracies"
@MithuHassan321,#QuotaMovement,Bangladesh is on a path to healing and recovery. Let's stay hopeful and supportive as the nation moves forward
@Journo_rajib,#QuotaMovement,"After the resignation of the Prime Minister of #Bangladesh over the #quotamovement,  students are forcibly dismissing the teachers of the educational institutions. The country's teachers are helpless today.
In #Sarishabari, the students forcing the headmaster to sign the resig..."
@Journo_rajib,#QuotaMovement,This is how the army cheered at the #Ganabhaban after Bangladesh Prime Minister #SheikhHasina was dismissed from work over the #quotamovement.
@inaya_bisma,#QuotaMovement,"Students are now staying at Shahbagh, DHAKA."
@mamunabduu,#QuotaMovement,"Loud and Clear: One-point demand, end the dictatorship."
@Talhaofficial01,#QuotaMovement,"Breaking ⚡
Chhatra League terrorists have set fire to a hospital bus inside PG Hospital."
@nakibmahbub10,#QuotaMovement,"So far, the Bangladesh Army is on the side of the students. 💪 
At night you can understand where the situation is going."
@Asiful_Rahman1,#QuotaMovement,"We witnessed a new dawn in Bangladesh as it gained independence.
"
@johirmasud,#QuotaMovement,This is the longest July in the history of Bangladesh.
